stock,entry,sl,tp,rr,trend,volume,momentum,rsi,vwap,score,date,time,result
APARINDS,14975.0,14900.12,15124.75,2.0,0.0058,1.67,0.005,67.8,14531.57,85.06,2026-07-02,07:34,TARGET
ARCHIDPLY,81.89,81.48,82.71,2.0,0.0088,,0.0112,55.3,80.82,,2026-07-02,07:34,SL
ASTERDM,795.25,791.27,803.2,2.0,0.0048,4.3,0.0048,71.7,786.91,97.96,2026-07-02,07:35,SL
DTIL,143.0,142.28,144.43,2.0,0.006,,0.007,56.4,141.79,,2026-07-02,07:36,TARGET
GALAPREC,1154.4,1148.63,1165.94,2.0,0.0105,3.77,0.015,61.2,1137.24,100.0,2026-07-02,07:37,TARGET
GREAVESCOT,228.6,227.46,230.89,2.0,0.0095,1.54,0.0132,56.7,226.0,83.11,2026-07-02,07:37,TARGET
GRMOVER,92.21,91.75,93.13,2.0,0.0049,3.61,0.0045,70.5,91.82,96.81,2026-07-02,07:38,TARGET
HINDCOMPOS,457.95,455.66,462.53,2.0,0.0048,3.25,0.0083,54.2,446.6,98.97,2026-07-02,07:38,TARGET
INA,116.35,115.77,117.51,2.0,0.0063,2.17,0.0076,62.7,115.7,92.55,2026-07-02,07:38,SL
IZMO,1016.7,1011.62,1026.87,2.0,0.0076,3.33,0.0091,68.8,1003.27,100.0,2026-07-02,07:39,SL
KERNEX,2347.8,2336.06,2371.28,2.0,0.0118,4.43,0.0099,74.4,2302.24,100.0,2026-07-02,07:39,SL
KOTIC,159.99,159.19,161.59,2.0,0.0068,,0.0097,62.1,159.04,,2026-07-02,07:39,SL
MAANALU,125.5,124.87,126.75,2.0,0.0112,3.07,0.0162,68.3,124.24,100.0,2026-07-02,07:40,TARGET
STEELCITY,79.16,78.76,79.95,2.0,0.0199,16.13,0.0189,65.6,78.49,100.0,2026-07-02,07:43,SL
SUNTECK,329.95,328.3,333.25,2.0,0.0039,7.66,0.0035,59.6,329.09,87.04,2026-07-02,07:44,TARGET
3BBLACKBIO,1209.7,1203.65,1221.8,2.0,0.006,3.43,0.0058,73.4,1201.18,100.0,2026-07-02,10:19,SL
AGARWALEYE,478.9,476.51,483.69,2.0,0.0087,3.44,0.0031,69.5,473.01,90.71,2026-07-02,10:19,SL
APCOTEXIND,525.3,522.67,530.55,2.0,0.008,8.29,0.0085,65.6,514.9,100.0,2026-07-02,10:19,SL
APOLLOHOSP,8730.0,8686.35,8817.3,2.0,0.0032,2.29,0.0039,61.8,8681.13,80.1,2026-07-02,10:19,TARGET
ASHAPURMIN,664.9,661.58,671.55,2.0,0.0055,3.35,0.0044,63.2,658.75,96.9,2026-07-02,10:20,TARGET
AUTOAXLES,1801.9,1792.89,1819.92,2.0,0.0053,2.65,0.0052,60.0,1796.21,99.76,2026-07-02,10:20,SL
BASF,3655.0,3636.72,3691.55,2.0,0.0075,5.01,0.0071,74.3,3600.84,100.0,2026-07-02,10:20,TARGET
BEPL,102.84,102.33,103.87,2.0,0.0103,1.96,0.0087,69.3,101.11,89.35,2026-07-02,10:20,SL
BERGEPAINT,521.95,519.34,527.17,2.0,0.0065,1.95,0.0077,74.0,517.93,89.3,2026-07-02,10:20,TARGET
BIRLANU,1377.7,1370.81,1391.48,2.0,0.0074,1.97,0.0069,57.8,1365.48,89.54,2026-07-02,10:20,SL
BOROSCI,170.0,169.15,171.7,2.0,0.0115,3.92,0.014,74.4,168.13,100.0,2026-07-02,10:20,TARGET
BOSCHLTD,41600.0,41392.0,42016.0,2.0,0.0044,2.27,0.0037,75.0,41160.21,84.79,2026-07-02,10:21,TARGET
CANHLIFE,142.2,141.49,143.62,2.0,0.0045,1.64,0.0034,66.5,140.94,73.89,2026-07-02,10:21,TARGET
COASTCORP,52.95,52.69,53.48,2.0,0.018,4.94,0.0185,64.1,51.34,100.0,2026-07-02,10:21,SL
COMSYN,187.66,186.72,189.54,2.0,0.0206,1.71,0.0062,72.6,181.79,85.62,2026-07-02,10:21,TARGET
COSMOFIRST,807.05,803.01,815.12,2.0,0.0049,2.94,0.0041,63.9,803.68,95.26,2026-07-02,10:21,TARGET
CREST,385.0,383.07,388.85,2.0,0.0069,2.07,0.0118,70.0,382.39,91.07,2026-07-02,10:21,SL
CUBEXTUB,82.99,82.58,83.82,2.0,0.0187,11.12,0.0217,70.9,81.56,100.0,2026-07-02,10:21,SL
DALMIASUG,336.4,334.72,339.76,2.0,0.0035,4.5,0.0042,70.1,334.96,88.3,2026-07-02,10:21,TARGET
DCAL,188.1,187.16,189.98,2.0,0.0122,1.82,0.0063,66.7,184.09,87.29,2026-07-02,10:21,TARGET
DIFFNKG,426.45,424.32,430.71,2.0,0.0054,2.76,0.0058,58.6,421.21,100.0,2026-07-02,10:21,SL
DMCC,257.5,256.21,260.07,2.0,0.0071,2.05,0.0047,63.4,255.38,89.13,2026-07-02,10:22,SL
DPABHUSHAN,956.0,951.22,965.56,2.0,0.0038,4.06,0.0031,53.4,950.38,84.65,2026-07-02,10:22,TARGET
DVL,240.5,239.3,242.91,2.0,0.0056,3.51,0.0116,62.5,238.57,100.0,2026-07-02,10:22,SL
ENRIN,3559.8,3542.0,3595.4,2.0,0.004,2.56,0.0041,65.7,3536.59,88.49,2026-07-02,10:22,SL
ESTER,91.2,90.74,92.11,2.0,0.0092,11.19,0.0132,72.1,90.64,100.0,2026-07-02,10:22,TARGET
EUROBOND,170.49,169.64,172.19,2.0,0.0065,3.02,0.0076,57.9,170.14,100.0,2026-07-02,10:22,SL
EVEREADY,373.95,372.08,377.69,2.0,0.0064,2.51,0.0047,72.0,371.78,96.21,2026-07-02,10:22,SL
FSL,239.17,237.97,241.56,2.0,0.007,2.31,0.0058,70.5,237.65,94.65,2026-07-02,10:22,TARGET
FUSION,216.1,215.02,218.26,2.0,0.0029,1.84,0.0032,69.3,212.66,68.21,2026-07-02,10:22,TARGET
GENUSPOWER,313.55,311.98,316.69,2.0,0.0024,4.3,0.0035,59.1,311.91,79.51,2026-07-02,10:22,TARGET
GICHSGFIN,153.6,152.83,155.14,2.0,0.0069,2.66,0.0091,68.5,152.42,99.86,2026-07-02,10:22,TARGET
GREENLAM,259.9,258.6,262.5,2.0,0.0058,3.42,0.0054,63.6,257.68,100.0,2026-07-02,10:23,SL
HIKAL,223.69,222.57,225.93,2.0,0.0086,2.05,0.007,60.5,221.65,90.8,2026-07-02,10:23,SL
HNDFDS,563.0,560.18,568.63,2.0,0.005,4.65,0.0054,71.2,560.64,100.0,2026-07-02,10:23,SL
HUHTAMAKI,211.95,210.89,214.07,2.0,0.008,4.57,0.0086,57.3,210.25,100.0,2026-07-02,10:23,SL
INDOTHAI,250.0,248.75,252.5,2.0,0.0046,2.88,0.0056,63.9,247.14,98.1,2026-07-02,10:24,TARGET
INFOBEAN,161.0,160.19,162.61,2.0,0.0121,5.26,0.0126,71.8,159.27,100.0,2026-07-02,10:24,TARGET
INGERRAND,4480.0,4457.6,4524.8,2.0,0.0041,1.89,0.0045,65.7,4472.73,81.15,2026-07-02,10:24,SL
INNOVANA,336.75,335.07,340.12,2.0,0.0249,11.38,0.0268,74.0,329.45,100.0,2026-07-02,10:24,SL
JAYNECOIND,90.6,90.15,91.51,2.0,0.0055,3.12,0.0061,66.4,89.81,100.0,2026-07-02,10:24,TARGET
JBMA,714.0,710.43,721.14,2.0,0.0053,5.34,0.0044,72.3,709.28,97.16,2026-07-02,10:24,SL
JKCEMENT,5548.0,5520.26,5603.48,2.0,0.0045,1.63,0.0053,67.9,5520.83,81.95,2026-07-02,10:24,SL
KSOLVES,290.05,288.6,292.95,2.0,0.0222,4.47,0.0226,67.5,283.36,100.0,2026-07-02,10:25,SL
LAOPALA,183.39,182.47,185.22,2.0,0.0054,2.3,0.003,62.8,181.82,84.6,2026-07-02,10:25,SL
LAXMIDENTL,225.5,224.37,227.75,2.0,0.0063,5.96,0.0045,72.1,224.01,97.27,2026-07-02,10:25,TARGET
LTTS,3185.0,3169.07,3216.85,2.0,0.0064,1.57,0.0074,67.8,3147.57,83.49,2026-07-02,10:25,TARGET
MAPMYINDIA,920.0,915.4,929.2,2.0,0.0065,1.96,0.0094,62.4,906.61,89.43,2026-07-02,10:25,SL
MODTHREAD,51.59,51.33,52.11,2.0,0.0157,5.66,0.0058,59.3,50.21,100.0,2026-07-02,10:26,TARGET
NRBBEARING,439.25,437.05,443.64,2.0,0.0085,4.24,0.0034,70.9,433.56,92.13,2026-07-02,10:26,SL
OMINFRAL,89.6,89.15,90.5,2.0,0.0096,4.04,0.0062,59.1,88.0,100.0,2026-07-02,10:26,TARGET
PACEDIGITK,214.2,213.13,216.34,2.0,0.0053,4.61,0.0071,68.0,212.34,100.0,2026-07-02,10:27,SL
PAUSHAKLTD,562.0,559.19,567.62,2.0,0.0169,2.28,0.0099,74.4,543.12,94.13,2026-07-02,10:27,TARGET
PNGSREVA,417.4,415.31,421.57,2.0,0.0112,3.1,0.014,71.8,411.31,100.0,2026-07-02,10:27,SL
RAJRATAN,455.5,453.22,460.06,2.0,0.0035,2.61,0.0035,51.3,452.67,84.35,2026-07-02,10:27,TARGET
RANEHOLDIN,1741.5,1732.79,1758.91,2.0,0.005,6.24,0.005,72.3,1733.33,99.73,2026-07-02,10:27,SL
RISHABH,650.1,646.85,656.6,2.0,0.0143,4.1,0.0155,74.6,635.82,100.0,2026-07-02,10:28,SL
RKFORGE,579.35,576.45,585.14,2.0,0.0087,2.58,0.0107,74.2,572.82,98.72,2026-07-02,10:28,TARGET
RUPA,169.5,168.65,171.19,2.0,0.0069,1.79,0.0065,70.4,168.45,86.79,2026-07-02,10:28,SL
SAGCEM,180.9,180.0,182.71,2.0,0.0063,3.79,0.005,71.1,179.55,100.0,2026-07-02,10:28,SL
SARLAPOLY,104.5,103.98,105.55,2.0,0.0154,9.53,0.0178,70.3,102.58,100.0,2026-07-02,10:28,SL
SATIA,56.58,56.3,57.15,2.0,0.0118,3.37,0.01,72.6,55.97,100.0,2026-07-02,10:28,SL
SHREDIGCEM,77.88,77.49,78.66,2.0,0.0034,2.12,0.0046,62.1,77.01,82.08,2026-07-02,10:28,SL
SHREYANIND,138.87,138.18,140.26,2.0,0.0049,,0.0045,74.4,137.94,,2026-07-02,10:28,SL
SPANDANA,285.8,284.37,288.66,2.0,0.0054,4.46,0.0063,58.1,283.48,100.0,2026-07-02,10:29,TARGET
SRGHFL,306.0,304.47,309.06,2.0,0.0046,,0.0066,54.5,304.45,,2026-07-02,10:29,SL
STYL,325.8,324.17,329.06,2.0,0.0058,2.0,0.0045,60.1,325.18,87.4,2026-07-02,10:29,TARGET
SUVEN,302.4,300.89,305.42,2.0,0.0289,4.59,0.0347,72.2,293.76,100.0,2026-07-02,10:29,TARGET
TATVA,1267.6,1261.26,1280.28,2.0,0.0063,3.68,0.0052,60.0,1246.08,100.0,2026-07-02,10:29,SL
UFLEX,432.05,429.89,436.37,2.0,0.0053,3.97,0.0052,61.5,430.49,100.0,2026-07-02,10:30,SL
VEEDOL,1464.9,1457.58,1479.55,2.0,0.0058,1.81,0.0068,69.5,1453.01,87.15,2026-07-02,10:30,SL
VENKEYS,1430.4,1423.25,1444.7,2.0,0.004,1.55,0.0032,67.0,1425.14,69.16,2026-07-02,10:30,SL
VIJAYA,1400.0,1393.0,1414.0,2.0,0.0026,1.69,0.0032,61.8,1393.44,64.17,2026-07-02,10:30,SL
VISHNU,630.5,627.35,636.8,2.0,0.0065,4.47,0.0073,68.6,622.51,100.0,2026-07-02,10:30,SL
VOLTAS,1295.4,1288.92,1308.35,2.0,0.0048,3.81,0.0055,64.9,1287.4,98.78,2026-07-02,10:31,SL
VRAJ,116.39,115.81,117.55,2.0,0.0029,2.57,0.0041,57.2,115.89,83.59,2026-07-02,10:31,SL
WHEELS,1624.2,1616.08,1640.44,2.0,0.0047,2.25,0.0032,60.4,1607.71,83.2,2026-07-02,10:31,SL
WORTHPERI,136.93,136.25,138.3,2.0,0.0055,,0.0068,59.7,136.25,,2026-07-02,10:31,SL
XCHANGING,63.63,63.31,64.27,2.0,0.0089,2.93,0.0036,65.3,62.74,93.14,2026-07-02,10:31,SL
XPROINDIA,1523.0,1515.38,1538.23,2.0,0.0144,5.53,0.016,74.6,1493.67,100.0,2026-07-02,10:31,TARGET
BANARISUG,3510.6,3493.05,3545.71,2.0,0.0025,,0.0033,56.8,3502.06,,2026-07-02,11:29,SL
CURAA,83.27,82.85,84.1,2.0,0.019,,0.0344,65.5,81.71,,2026-07-02,11:30,SL
ALBERTDAVD,719.9,716.3,727.1,2.0,0.004,,0.0124,57.8,717.0,,2026-07-03,06:51,SL
CLEAN,786.45,782.52,794.31,2.0,0.0046,7.51,0.0038,63.1,782.35,91.81,2026-07-03,06:52,SL
CYIENT,903.6,899.08,912.64,2.0,0.0112,2.86,0.0144,72.2,892.39,100.0,2026-07-03,06:52,SL
DOLPHIN,380.7,378.8,384.51,2.0,0.0079,1.54,0.0081,70.8,376.83,83.16,2026-07-03,06:53,SL
EMAMIPAP,86.4,85.97,87.26,2.0,0.0039,,0.0061,58.7,85.98,,2026-07-03,06:53,SL
EMIL,140.61,139.91,142.02,2.0,0.0169,3.97,0.0166,74.7,137.77,100.0,2026-07-03,06:53,SL
GRAVITA,1753.0,1744.23,1770.53,2.0,0.0088,2.05,0.0052,72.1,1724.58,90.75,2026-07-03,06:54,SL
HCLTECH,1155.6,1149.82,1167.16,2.0,0.0102,1.55,0.0096,74.0,1132.83,83.26,2026-07-03,06:54,SL
IITL,134.7,134.03,136.05,2.0,0.0079,,0.0094,63.2,133.84,,2026-07-03,06:54,SL
IKS,1880.0,1870.6,1898.8,2.0,0.0034,1.54,0.0037,71.3,1864.71,68.95,2026-07-03,06:54,SL
INDIAGLYCO,1056.05,1050.77,1066.61,2.0,0.0207,3.45,0.0298,72.9,1033.04,100.0,2026-07-03,06:54,SL
INDPRUD,6627.5,6594.36,6693.77,2.0,0.007,,0.008,52.0,6586.38,,2026-07-03,06:54,SL
MMP,280.4,279.0,283.2,2.0,0.0105,2.51,0.0105,71.1,277.46,97.65,2026-07-03,06:56,SL
NATHBIOGEN,167.98,167.14,169.66,2.0,0.0056,,0.0059,50.7,167.09,,2026-07-03,06:56,SL
SCODATUBES,151.9,151.14,153.42,2.0,0.017,1.64,0.0213,55.5,149.13,84.67,2026-07-03,06:58,SL
SHREYANIND,137.89,137.2,139.27,2.0,0.003,,0.0064,60.5,135.09,,2026-07-03,06:58,TARGET
SILINV,423.95,421.83,428.19,2.0,0.0048,,0.007,62.5,421.47,,2026-07-03,06:58,SL
SOMANYCERA,541.9,539.19,547.32,2.0,0.0044,5.28,0.0044,66.8,538.24,94.04,2026-07-03,06:59,SL
SREEL,214.5,213.43,216.65,2.0,0.0072,,0.0165,57.3,212.33,,2026-07-03,06:59,SL
SYRMA,1397.7,1390.71,1411.68,2.0,0.003,1.58,0.0041,60.5,1388.64,69.34,2026-07-03,06:59,SL
TCC,320.0,318.4,323.2,2.0,0.0079,,0.0046,66.5,317.98,,2026-07-03,06:59,SL
AARVI,146.0,145.27,147.46,2.0,0.0046,1.62,0.0032,57.6,145.49,73.28,2026-07-03,07:21,SL
ASTRAMICRO,1803.0,1793.98,1821.03,2.0,0.0033,3.37,0.0064,57.0,1782.26,91.33,2026-07-03,07:23,TARGET
AZAD,2165.0,2154.18,2186.65,2.0,0.0049,1.82,0.003,56.7,2138.11,76.91,2026-07-03,07:23,SL
JMFINANCIL,132.15,131.49,133.47,2.0,0.0047,4.41,0.0094,57.5,131.45,98.65,2026-07-03,07:28,SL
KALYANIFRG,628.35,625.21,634.63,2.0,0.0151,2.06,0.0135,61.8,620.44,90.86,2026-07-03,07:29,SL
KAUSHALYA,979.35,974.45,989.14,2.0,0.0166,,0.0117,70.8,965.9,,2026-07-03,07:29,TARGET
KPIL,1389.7,1382.75,1403.6,2.0,0.0041,2.08,0.0048,67.1,1380.48,85.73,2026-07-03,07:29,SL
LUXIND,1259.5,1253.2,1272.1,2.0,0.0028,2.73,0.0032,61.8,1263.15,69.79,2026-07-03,07:30,SL
AADHARHFC,557.5,554.71,563.08,2.0,0.006,4.34,0.0085,69.8,551.53,100.0,2026-07-03,10:13,SL
ABBOTINDIA,26045.0,25914.78,26305.45,2.0,0.0082,2.56,0.0103,74.2,25805.82,98.35,2026-07-03,10:13,TARGET
ADANIENSOL,1574.5,1566.63,1590.25,2.0,0.0064,2.06,0.0112,68.2,1553.66,90.92,2026-07-03,10:13,TARGET
AMNPLST,195.17,194.19,197.12,2.0,0.0091,1.69,0.0174,56.7,193.05,85.34,2026-07-03,10:14,SL
ANDHRSUGAR,84.0,83.58,84.84,2.0,0.0028,9.32,0.0035,61.4,83.58,81.24,2026-07-03,10:14,SL
ANTELOPUS,806.85,802.82,814.92,2.0,0.0136,1.98,0.0131,74.0,790.1,89.75,2026-07-03,10:14,SL
ANURAS,1275.0,1268.62,1287.75,2.0,0.0037,2.55,0.0034,59.8,1271.1,83.46,2026-07-03,10:14,SL
ARIHANTCAP,71.09,70.73,71.8,2.0,0.005,1.65,0.0034,55.0,70.22,76.75,2026-07-03,10:14,SL
BALAMINES,2200.0,2189.0,2222.0,2.0,0.0061,2.93,0.0048,66.9,2193.48,99.21,2026-07-03,10:14,SL
BEDMUTHA,112.0,111.44,113.12,2.0,0.0079,,0.0044,66.4,110.34,,2026-07-03,10:15,SL
BORANA,316.5,314.92,319.67,2.0,0.0089,2.0,0.0051,71.1,313.4,90.02,2026-07-03,10:15,SL
CENTUM,3633.9,3615.73,3670.24,2.0,0.0038,1.67,0.0036,69.8,3625.46,72.0,2026-07-03,10:15,TARGET
COROMANDEL,2039.9,2029.7,2060.3,2.0,0.0025,2.16,0.0039,65.0,2020.39,74.52,2026-07-03,10:15,SL
CPPLUS,3600.1,3582.1,3636.1,2.0,0.0058,3.18,0.0048,74.1,3573.41,99.14,2026-07-03,10:16,TARGET
DALMIASUG,342.5,340.79,345.93,2.0,0.0075,2.83,0.0075,66.4,339.58,100.0,2026-07-03,10:16,TARGET
DEEPINDS,464.9,462.58,469.55,2.0,0.0099,3.5,0.0033,71.9,459.04,91.73,2026-07-03,10:16,SL
DENORA,887.0,882.56,895.87,2.0,0.0077,2.81,0.0135,56.6,877.55,100.0,2026-07-03,10:16,SL
DHANUKA,1095.0,1089.53,1105.95,2.0,0.0045,3.14,0.003,67.6,1091.76,87.63,2026-07-03,10:16,SL
EFCIL,206.0,204.97,208.06,2.0,0.0048,2.67,0.015,51.5,203.15,98.91,2026-07-03,10:16,SL
ENDURANCE,2650.0,2636.75,2676.5,2.0,0.0064,2.3,0.0039,64.3,2641.45,89.17,2026-07-03,10:16,SL
FAZE3Q,619.85,616.75,626.05,2.0,0.0136,5.03,0.01,62.6,611.45,100.0,2026-07-03,10:16,SL
FDC,435.9,433.72,440.26,2.0,0.0104,4.16,0.0153,63.7,431.91,100.0,2026-07-03,10:16,SL
FORCEMOT,18892.0,18797.54,19080.92,2.0,0.0064,2.01,0.0076,66.9,18854.73,90.14,2026-07-03,10:17,SL
GANDHAR,187.5,186.56,189.38,2.0,0.0078,4.46,0.0054,74.3,185.56,100.0,2026-07-03,10:17,SL
GLOBAL,104.0,103.48,105.04,2.0,0.014,5.29,0.0064,65.0,102.49,100.0,2026-07-03,10:17,SL
GRMOVER,99.0,98.5,99.99,2.0,0.0093,8.59,0.0077,74.8,98.61,100.0,2026-07-03,10:17,TARGET
GULFOILLUB,1056.5,1051.22,1067.07,2.0,0.0043,3.75,0.0054,67.9,1049.26,96.32,2026-07-03,10:17,SL
HARRMALAYA,203.13,202.11,205.16,2.0,0.0044,2.41,0.0105,51.0,201.58,93.17,2026-07-03,10:17,SL
HEIDELBERG,156.58,155.8,158.15,2.0,0.0032,2.0,0.0037,66.0,155.8,74.54,2026-07-03,10:18,SL
HERANBA,190.98,190.03,192.89,2.0,0.0132,4.77,0.0132,71.1,188.42,100.0,2026-07-03,10:18,SL
HONDAPOWER,2195.0,2184.03,2216.95,2.0,0.0055,3.16,0.006,63.0,2186.6,100.0,2026-07-03,10:18,SL
HUHTAMAKI,217.0,215.91,219.17,2.0,0.0093,6.9,0.0076,74.8,214.61,100.0,2026-07-03,10:18,TARGET
IFGLEXPOR,224.0,222.88,226.24,2.0,0.0137,2.04,0.0316,50.6,221.0,90.63,2026-07-03,10:18,SL
INDORAMA,50.89,50.64,51.4,2.0,0.0099,4.03,0.0146,64.8,50.65,100.0,2026-07-03,10:18,SL
JMA,90.55,90.1,91.46,2.0,0.0181,2.73,0.0188,72.5,89.2,100.0,2026-07-03,10:19,SL
JSL,701.0,697.5,708.01,2.0,0.003,2.34,0.0033,56.3,699.89,76.53,2026-07-03,10:19,SL
KICL,5490.0,5462.55,5544.9,2.0,0.0116,1.82,0.0169,63.4,5415.6,87.27,2026-07-03,10:19,SL
LAGNAM,80.33,79.93,81.13,2.0,0.0059,,0.009,54.8,79.95,,2026-07-03,10:19,SL
LATENTVIEW,282.0,280.59,284.82,2.0,0.0051,4.43,0.0057,73.3,280.3,100.0,2026-07-03,10:19,SL
LTTS,3245.0,3228.78,3277.45,2.0,0.0072,1.68,0.0141,52.1,3222.91,85.15,2026-07-03,10:20,SL
METROBRAND,1039.9,1034.7,1050.3,2.0,0.0033,4.2,0.0056,59.2,1035.89,91.68,2026-07-03,10:20,TARGET
NAHARINDUS,119.5,118.9,120.7,2.0,0.0022,2.79,0.0041,68.8,119.31,81.79,2026-07-03,10:20,SL
NETWEB,4441.0,4418.8,4485.41,2.0,0.005,2.8,0.0053,73.1,4424.33,99.81,2026-07-03,10:21,SL
NIPPOBATRY,355.0,353.23,358.55,2.0,0.0056,6.47,0.0107,59.2,352.67,100.0,2026-07-03,10:21,TARGET
OPTIEMUS,524.75,522.13,530.0,2.0,0.0121,3.95,0.0111,74.0,515.31,100.0,2026-07-03,10:21,TARGET
ORIENTCEM,142.49,141.78,143.91,2.0,0.0057,1.88,0.0044,65.1,140.56,84.99,2026-07-03,10:21,SL
PACEDIGITK,215.45,214.37,217.6,2.0,0.0046,3.7,0.0043,55.1,214.78,94.9,2026-07-03,10:21,SL
PRECWIRE,402.45,400.44,406.47,2.0,0.0062,3.26,0.0054,69.2,400.73,100.0,2026-07-03,10:21,SL
PVRINOX,1002.05,997.04,1012.07,2.0,0.0052,2.45,0.0054,71.3,993.28,96.74,2026-07-03,10:22,SL
RALLIS,228.65,227.51,230.94,2.0,0.0036,2.87,0.0034,56.3,227.24,85.08,2026-07-03,10:22,TARGET
RUBFILA,72.8,72.44,73.53,2.0,0.0053,3.81,0.0041,65.2,72.17,95.69,2026-07-03,10:22,TARGET
SBCL,795.45,791.47,803.4,2.0,0.0075,2.34,0.0079,67.2,785.11,95.03,2026-07-03,10:23,SL
SOLARWORLD,211.1,210.04,213.21,2.0,0.013,2.0,0.011,68.5,209.21,90.03,2026-07-03,10:23,TARGET
TOUCHWOOD,70.98,70.63,71.69,2.0,0.0116,6.29,0.0107,57.7,70.46,100.0,2026-07-03,10:24,SL
UNIMECH,1155.4,1149.62,1166.95,2.0,0.0049,2.83,0.003,64.9,1154.42,89.92,2026-07-03,10:25,SL
UNIPARTS,653.95,650.68,660.49,2.0,0.0034,2.17,0.0033,57.5,653.06,75.81,2026-07-03,10:25,TARGET
V2RETAIL,231.35,230.19,233.66,2.0,0.0046,2.66,0.007,64.8,229.1,98.01,2026-07-03,10:25,SL
VADILALIND,6361.5,6329.69,6425.11,2.0,0.0036,3.87,0.0037,65.3,6327.49,86.33,2026-07-03,10:25,SL
VARROC,668.55,665.21,675.24,2.0,0.0034,2.47,0.0038,64.8,664.83,82.77,2026-07-03,10:25,SL
VINYLINDIA,265.0,263.68,267.65,2.0,0.0135,7.58,0.0115,65.4,261.86,100.0,2026-07-03,10:25,SL
VIYASH,295.25,293.77,298.2,2.0,0.0038,3.42,0.0058,54.9,292.62,93.8,2026-07-03,10:25,SL
WCIL,99.75,99.25,100.75,2.0,0.0107,3.23,0.0136,62.4,98.95,100.0,2026-07-03,10:25,SL
NBIFIN,1897.0,1887.52,1915.97,2.0,0.0103,,0.0069,57.7,1879.79,,2026-07-03,11:33,TARGET
PKTEA,763.85,760.03,771.49,2.0,0.0098,,0.0185,61.6,750.97,,2026-07-03,11:34,SL
ATLASCYCLE,98.0,97.51,98.98,2.0,0.0037,,0.009,57.8,97.43,,2026-07-06,08:06,SL
BI,62.04,61.73,62.66,2.0,0.0328,,0.0359,65.4,60.38,,2026-07-06,08:07,TARGET
DENORA,901.45,896.94,910.46,2.0,0.0079,4.62,0.0109,63.7,894.11,100.0,2026-07-06,08:08,SL
DHUNINV,900.0,895.5,909.0,2.0,0.0091,,0.0169,66.6,890.9,,2026-07-06,08:08,SL
FERMENTA,392.25,390.29,396.17,2.0,0.0099,2.2,0.0112,65.0,390.13,93.01,2026-07-06,08:09,SL
FSL,249.49,248.24,251.98,2.0,0.0093,2.47,0.0056,69.6,245.32,96.98,2026-07-06,08:09,SL
ISFT,78.3,77.91,79.08,2.0,0.0117,,0.0165,70.9,77.79,,2026-07-06,08:10,SL
JUBLINGREA,687.0,683.56,693.87,2.0,0.0084,1.87,0.0087,65.5,682.21,88.05,2026-07-06,08:11,SL
AZAD,2231.1,2219.94,2253.41,2.0,0.0081,2.31,0.0095,71.9,2198.77,94.58,2026-07-06,08:22,TARGET
DELTAMAGNT,62.74,62.43,63.37,2.0,0.0168,,0.0119,61.0,61.86,,2026-07-06,08:23,SL
MAJESAUT,340.0,338.3,343.4,2.0,0.0077,8.4,0.0059,59.6,338.79,100.0,2026-07-06,08:27,SL
PREMIERPOL,65.8,65.47,66.46,2.0,0.0062,3.64,0.0053,62.2,65.65,100.0,2026-07-06,08:29,SL
ABDL,705.5,701.97,712.55,2.0,0.0054,2.28,0.0092,63.5,695.99,94.19,2026-07-06,12:19,SL
ACE,1009.0,1003.96,1019.09,2.0,0.0029,2.83,0.0035,62.4,1004.19,81.8,2026-07-06,12:19,SL
BAJAJHFL,90.25,89.8,91.15,2.0,0.0048,3.24,0.0034,70.3,89.88,91.39,2026-07-06,12:20,SL
BANDHANBNK,208.78,207.74,210.87,2.0,0.0084,2.9,0.0088,70.1,206.32,100.0,2026-07-06,12:20,TARGET
BHARATSE,244.8,243.58,247.25,2.0,0.0151,1.92,0.0207,72.2,241.64,88.83,2026-07-06,12:20,SL
CAPLIPOINT,2639.0,2625.8,2665.39,2.0,0.0113,5.2,0.0084,71.5,2596.13,100.0,2026-07-06,12:21,SL
CCL,1204.7,1198.68,1216.75,2.0,0.0082,1.95,0.0042,73.8,1193.0,85.12,2026-07-06,12:21,TARGET
DECNGOLD,205.2,204.17,207.25,2.0,0.0101,3.57,0.0131,73.0,202.28,100.0,2026-07-06,12:21,SL
DOMS,2330.9,2319.25,2354.21,2.0,0.0036,2.43,0.0045,62.4,2320.79,87.21,2026-07-06,12:21,SL
EMSLIMITED,420.85,418.75,425.06,2.0,0.0066,2.67,0.0036,66.6,418.0,92.88,2026-07-06,12:22,SL
GODAVARIB,270.0,268.65,272.7,2.0,0.0075,5.62,0.0078,66.7,268.88,100.0,2026-07-06,12:22,SL
GOODLUCK,1487.4,1479.96,1502.27,2.0,0.0027,2.99,0.0036,60.2,1485.63,81.8,2026-07-06,12:22,SL
IMPAL,1210.0,1203.95,1222.1,2.0,0.0089,2.6,0.0083,53.0,1179.78,99.0,2026-07-06,12:23,SL
INDIANHUME,364.0,362.18,367.64,2.0,0.0043,3.33,0.0066,58.9,361.34,96.68,2026-07-06,12:23,SL
INNOVACAP,957.5,952.71,967.08,2.0,0.0035,2.95,0.0033,56.9,956.76,83.88,2026-07-06,12:23,SL
KABRAEXTRU,299.5,298.0,302.5,2.0,0.0239,5.22,0.0336,71.3,295.91,100.0,2026-07-06,12:24,SL
