stock,entry,sl,tp,rr,trend,volume,momentum,rsi,vwap,score,date,time,result
LAXMIDENTL,240.0,234.6,246.0,,0.0158,2.96,0.016,72.3,236.04,100.0,2026-06-02,11:54,STALE
LTM,4359.1,4329.0,4468.08,,0.0045,2.57,0.0054,67.1,4322.44,96.14,2026-06-02,11:54,STALE
LUXIND,1440.0,1418.0,1476.0,,0.006,4.91,0.0069,58.1,1431.92,100.0,2026-06-02,11:54,STALE
LXCHEM,151.1,149.62,154.88,,0.0062,6.49,0.0057,62.3,149.31,100.0,2026-06-02,11:54,STALE
MARKSANS,242.2,239.42,248.25,,0.0065,1.92,0.0037,69.1,240.93,82.28,2026-06-02,11:54,STALE
MAZDOCK,2450.8,2432.2,2512.07,,0.0043,2.15,0.0032,65.4,2427.19,79.8,2026-06-02,11:54,STALE
MOIL,297.95,294.6,305.4,,0.0066,2.29,0.0066,72.1,295.61,94.4,2026-06-02,11:54,STALE
MRPL,147.48,146.15,151.17,,0.0038,3.59,0.0057,62.2,146.63,94.1,2026-06-02,11:55,STALE
NATCOPHARM,946.8,934.7,970.47,,0.0094,2.55,0.0083,67.4,935.22,98.29,2026-06-02,11:55,STALE
NAUKRI,1019.95,1012.6,1045.45,,0.0048,2.13,0.0054,75.0,1007.4,91.16,2026-06-02,11:55,STALE
NETWEB,4812.0,4716.5,4932.3,,0.0125,1.97,0.0099,68.4,4701.91,89.57,2026-06-02,11:55,STALE
NFL,75.4,74.92,77.29,,0.0035,3.89,0.0039,64.7,74.97,86.76,2026-06-02,11:55,STALE
NORTHARC,289.45,282.3,296.69,,0.016,2.84,0.016,69.5,281.08,100.0,2026-06-02,11:55,STALE
OMNI,507.0,499.0,519.67,,0.0099,2.39,0.0065,65.7,503.12,95.9,2026-06-02,11:55,STALE
OMPOWER,171.0,169.5,175.27,,0.0053,4.39,0.0059,67.8,169.87,100.0,2026-06-02,11:55,STALE
ONGC,265.5,264.3,272.14,,0.0027,2.04,0.0034,59.8,264.09,71.32,2026-06-02,11:55,STALE
ORISSAMINE,4088.0,4040.8,4190.2,,0.0056,4.86,0.0072,59.3,4063.91,100.0,2026-06-02,11:55,STALE
PARAS,860.45,844.2,881.96,,0.0156,4.27,0.0096,73.3,838.95,100.0,2026-06-02,11:56,STALE
PRAJIND,349.75,346.65,358.49,,0.0053,2.9,0.005,63.6,345.47,100.0,2026-06-02,11:56,STALE
PRINCEPIPE,274.05,270.2,280.9,,0.0097,3.69,0.0083,73.0,268.24,100.0,2026-06-02,11:56,STALE
QUADFUTURE,323.0,317.0,331.07,,0.0094,1.67,0.0129,62.1,321.22,85.08,2026-06-02,11:56,STALE
RAMKY,441.9,438.35,452.95,,0.0057,3.14,0.0045,61.9,437.77,97.73,2026-06-02,11:56,STALE
RANEHOLDIN,1469.9,1453.7,1506.65,,0.007,1.7,0.0067,52.7,1452.94,85.46,2026-06-02,11:56,STALE
RATNAMANI,2560.3,2528.2,2624.31,,0.0091,2.56,0.0104,72.8,2537.84,98.34,2026-06-02,11:56,STALE
RECLTD,325.9,323.6,334.05,,0.0034,1.92,0.0031,61.7,324.37,71.02,2026-06-02,11:56,STALE
REFEX,318.0,315.0,325.95,,0.0057,2.29,0.0047,55.9,313.85,92.98,2026-06-02,11:56,STALE
RICOAUTO,114.46,113.45,117.32,,0.0037,3.09,0.004,55.8,112.31,88.62,2026-06-02,11:56,STALE
SANDUMA,230.14,227.55,235.89,,0.0073,4.23,0.0065,71.7,228.24,100.0,2026-06-02,11:57,STALE
SANGHVIMOV,360.0,354.8,369.0,,0.0102,5.2,0.0081,65.5,355.93,100.0,2026-06-02,11:57,STALE
SANOFI,3179.0,3158.1,3258.47,,0.0056,4.15,0.0045,68.7,3147.63,97.28,2026-06-02,11:57,STALE
SGFIN,571.0,565.0,585.27,,0.006,2.32,0.0088,59.7,567.54,94.82,2026-06-02,11:57,STALE
STYL,272.8,269.75,279.62,,0.0039,6.74,0.0059,53.5,269.72,94.47,2026-06-02,11:58,STALE
SUDARCOLOR,362.0,358.0,371.05,,0.0039,2.78,0.0049,57.9,359.46,93.66,2026-06-02,11:58,STALE
TAJGVK,341.95,338.6,350.5,,0.0059,2.59,0.0069,65.4,339.48,98.83,2026-06-02,11:58,STALE
TARSONS,209.6,206.01,214.84,,0.0091,3.35,0.0097,66.0,207.34,100.0,2026-06-02,11:58,STALE
TATAELXSI,4534.0,4513.5,4647.35,,0.004,1.61,0.0037,65.8,4475.19,72.58,2026-06-02,11:58,STALE
TDPOWERSYS,1245.0,1223.1,1276.12,,0.0117,1.9,0.0082,63.6,1220.89,88.54,2026-06-02,11:59,STALE
TEAMLEASE,1385.9,1378.9,1420.55,,0.0036,5.67,0.0035,62.7,1380.61,85.79,2026-06-02,11:59,STALE
TEJASNET,540.0,532.6,553.5,,0.0082,4.23,0.0058,68.7,533.14,100.0,2026-06-02,11:59,STALE
THEJO,1554.6,1540.0,1593.46,,0.0057,13.35,0.0062,59.1,1545.2,100.0,2026-06-02,11:59,STALE
TIRUMALCHM,188.0,185.0,192.7,,0.0093,1.96,0.0108,67.7,186.22,89.43,2026-06-02,11:59,STALE
TMCV,373.05,370.05,382.38,,0.0043,3.08,0.007,58.0,371.18,96.72,2026-06-02,11:59,STALE
TNPL,149.0,146.12,152.72,,0.0129,5.38,0.013,74.2,146.8,100.0,2026-06-02,11:59,STALE
USHAMART,495.0,489.5,507.37,,0.007,3.82,0.0085,66.0,492.84,100.0,2026-06-02,11:59,STALE
VENUSPIPES,1433.0,1403.5,1468.82,,0.0146,1.89,0.0134,63.2,1402.64,88.42,2026-06-02,11:59,STALE
VIKRAMSOLR,198.2,196.17,203.15,,0.0057,2.37,0.0053,61.1,195.05,95.62,2026-06-02,11:59,STALE
VOLTAMP,9146.5,9107.0,9375.16,,0.0025,2.84,0.0031,55.4,9125.74,78.05,2026-06-02,12:00,STALE
WEBELSOLAR,106.66,105.51,109.33,,0.007,1.89,0.0043,62.3,105.23,85.07,2026-06-02,12:00,STALE
WELENT,518.8,512.95,531.77,,0.0053,4.4,0.0068,66.3,514.81,100.0,2026-06-02,12:00,STALE
