SYMBOL,VOLUME,%CHNG
DOMS,1000000,0.0
DONEAR,1000000,0.0
DPABHUSHAN,1000000,0.0
DPSCLTD,1000000,0.0
DPWIRES,1000000,0.0
DRCSYSTEMS,1000000,0.0
DREAMFOLKS,1000000,0.0
DREDGECORP,1000000,0.0
DRREDDY,1000000,0.0
DSSL,1000000,0.0
DTIL,1000000,0.0
DUCON,1000000,0.0
DVL,1000000,0.0
DWARKESH,1000000,0.0
DYCL,1000000,0.0
DYNAMATECH,1000000,0.0
DYNPRO,1000000,0.0
E2E,1000000,0.0
EASEMYTRIP,1000000,0.0
EBGNG,1000000,0.0
ECLERX,1000000,0.0
ECOSMOBLTY,1000000,0.0
EDELWEISS,1000000,0.0
EFCIL,1000000,0.0
EICHERMOT,1000000,0.0
EIDPARRY,1000000,0.0
EIEL,1000000,0.0
EIFFL,1000000,0.0
EIHAHOTELS,1000000,0.0
EIHOTEL,1000000,0.0
EIMCOELECO,1000000,0.0
EKC,1000000,0.0
ELDEHSG,1000000,0.0
ELECON,1000000,0.0
ELECTCAST,1000000,0.0
ELECTHERM,1000000,0.0
ELGIEQUIP,1000000,0.0
ELGIRUBCO,1000000,0.0
ELIN,1000000,0.0
ELLEN,1000000,0.0
EMAMILTD,1000000,0.0
EMAMIPAP,1000000,0.0
EMAMIREAL,1000000,0.0
EMCURE,1000000,0.0
EMIL,1000000,0.0
EMKAY,1000000,0.0
EMMBI,1000000,0.0
EMMVEE,1000000,0.0
EMSLIMITED,1000000,0.0
EMUDHRA,1000000,0.0
ENDURANCE,1000000,0.0
ENGINERSIN,1000000,0.0
ENIL,1000000,0.0
ENRIN,1000000,0.0
ENTERO,1000000,0.0
EPACK,1000000,0.0
EPACKPEB,1000000,0.0
EPIGRAL,1000000,0.0
EPL,1000000,0.0
EQUITASBNK,1000000,0.0
ERIS,1000000,0.0
ESABINDIA,1000000,0.0
ESAFSFB,1000000,0.0
ESCORTS,1000000,0.0
ESSENTIA,1000000,0.0
ESTER,1000000,0.0
ETERNAL,1000000,0.0
ETHOSLTD,1000000,0.0
EUREKAFORB,1000000,0.0
EUROBOND,1000000,0.0
EUROPRATIK,1000000,0.0
EVEREADY,1000000,0.0
EVERESTIND,1000000,0.0
EXCEL,1000000,0.0
EXCELINDUS,1000000,0.0
EXCELSOFT,1000000,0.0
EXICOM,1000000,0.0
EXIDEIND,1000000,0.0
EXPLEOSOL,1000000,0.0
FABTECH,1000000,0.0
FACT,1000000,0.0
FAIRCHEMOR,1000000,0.0
FAZE3Q,1000000,0.0
FCL,1000000,0.0
FCSSOFT,1000000,0.0
FDC,1000000,0.0
FEDERALBNK,1000000,0.0
FEDFINA,1000000,0.0
FIBERWEB,1000000,0.0
FIEMIND,1000000,0.0
FILATEX,1000000,0.0
FILATFASH,1000000,0.0
FINCABLES,1000000,0.0
FINEORG,1000000,0.0
FINKURVE,1000000,0.0
FINOPB,1000000,0.0
FINPIPE,1000000,0.0
FIRSTCRY,1000000,0.0
FISCHER,1000000,0.0
FIVESTAR,1000000,0.0
FLAIR,1000000,0.0
FLEXITUFF,1000000,0.0
FLUOROCHEM,1000000,0.0
FMGOETZE,1000000,0.0
FMNL,1000000,0.0
FOCUS,1000000,0.0
FOODSIN,1000000,0.0
FORCEMOT,1000000,0.0
FORTIS,1000000,0.0
FOSECOIND,1000000,0.0
FSL,1000000,0.0
FUSION,1000000,0.0
GABRIEL,1000000,0.0
GAEL,1000000,0.0
GAIL,1000000,0.0
GALAPREC,1000000,0.0
GALAXYSURF,1000000,0.0
GALLANTT,1000000,0.0
GANDHAR,1000000,0.0
GANDHITUBE,1000000,0.0
GANECOS,1000000,0.0
GANESHBE,1000000,0.0
GANESHCP,1000000,0.0
GANESHHOU,1000000,0.0
GANGAFORGE,1000000,0.0
GANGESSECU,1000000,0.0
GARFIBRES,1000000,0.0
GARUDA,1000000,0.0
GATECH,1000000,0.0
GATECHDVR,1000000,0.0
GATEWAY,1000000,0.0
GEECEE,1000000,0.0
GEEKAYWIRE,1000000,0.0
GEMAROMA,1000000,0.0
GENCON,1000000,0.0
GENESYS,1000000,0.0
GENUSPAPER,1000000,0.0
GENUSPOWER,1000000,0.0
GEOJITFSL,1000000,0.0
GESHIP,1000000,0.0
GFLLIMITED,1000000,0.0
GHCL,1000000,0.0
GHCLTEXTIL,1000000,0.0
GICHSGFIN,1000000,0.0
GICRE,1000000,0.0
GILLANDERS,1000000,0.0
GILLETTE,1000000,0.0
GINNIFILA,1000000,0.0
GIPCL,1000000,0.0
GKENERGY,1000000,0.0
GKSL,1000000,0.0
GKWLIMITED,1000000,0.0
GLAND,1000000,0.0
GLAXO,1000000,0.0
GLENMARK,1000000,0.0
GLOBALE,1000000,0.0
